Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2 (self-reported),Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area (ft²),Self-Reported Gross Floor Area (ft²),Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Propane Use (kBtu),District Steam Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Annual Maximum Demand (kW),Annual Maximum Demand (MM/YYYY),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Water Required?,Generation Date,DOF Benchmarking Submission Status
2403,6296154,Sutter Gardens,6296154,Sutter Gardens,3040430001;3040270001;3040440001,3-04043-0001;3-04027-0001;3-04044-0001,3346324;3338894;3336998;3337004;3336999;3337001;3337000;3337002;3337003;3346323;3323719;3323718;3323726;3323725;3323724;3323717;3323727;3337005;3337009;3337013;3337008;3337007;3337011;3337012;3337006;3337010;3826314;3828761;3337014,440 Schenck Ave,,11207,Not found,Not found,Brooklyn, Not found ,217833,Multifamily Housing,Multifamily Housing,Multifamily Housing,217833,,,,,1984,16,100,Whole Building,,48,124,126.7,75.4,77.9,6.3,0.6,,,,,,,,,,11742521.8,122961.7,4672462.1,1369420.1,1371777.9,,,1038,623.7,414.3,,,Not found,4/16/2018,Not found
2440,5846549,West Farms Square,5846549,West Farms Square,2031300020;2031310020;2031360001,2-03130-0020;2-03131-0020;2-03136-0001,2101907;2013248;2112834;2101193;2092385;2092386;,1 West Farms Square Plaza,,10460,Not found,Not found,Bronx, Not found ,532888,Multifamily Housing,Multifamily Housing,Multifamily Housing,532888,,,,,1972,6,100,Whole Building,Whole Building,5,207.2,213.2,161.8,167.6,5.2,1.5,,,,,,,,,,76680491.1,798658.9,9517314.6,2789365,2775067.8,,,4916.7,4072.9,843.8,,,Not found,4/16/2018,Not found
2482,6231688,"NYJE, LLC d/b/a New York Jewelers Exchange",,,1002030025;1002030026,1002030025:1002030026,1002612;1002613,70-72-74 Bowery ,,10013,Not found,Not found,Manhattan, Not found ,50000,Mixed Use Property,Office,Office,50000,,,,,1905,2,100,Whole Building,,,223.4,225.6,84,86.2,19,0.2,,,,,,,,,,966548.5,10752.9,3234184,947885,947528.6,,,338.1,51.3,286.7,1611.3,32.23,Not found,4/16/2018,Not found
2538,2816577,Barouh Eaton Allen Corp.,,,3023020006;3023020001;3023020034,3023020006;3023020001;3023020034,3061645;3061644;3061647,67 Kent Avenue,,11249,Not found,Not found,Brooklyn, Not found ,180000,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,167000,Office,13000,,,1955,1,10,Whole Building,,,26,28.6,17.7,20.1,1,0.2,,,,,,,,,,2545928.9,29764.2,641654.5,188058.1,188058.1,,,192.1,135.2,56.9,127,0.71,Not found,4/16/2018,Not found
2552,2810721,Owners of 9102 & 9108 Colonial Road,,,3060830041;3060830038,3-06083-0041;3-06083-0038,3154608;3154607,9108 Colonial Road,,11209,Not found,Not found,Brooklyn, Not found ,99800,Multifamily Housing,Multifamily Housing,Multifamily Housing,99800,,,,,1961,2,100,Whole Building,Whole Building,52,115.6,121.3,85.5,90.7,3.7,0.8,,276000,,,,,,,,7012003.8,75199.5,1240150.6,363467.3,367109.8,,,502.9,392.9,110,533.4,5.34,Not found,4/16/2018,Not found
2646,6258027,St. Nicholas Greek Orthodox Church,,,4055200001;4055200047;4055200050,4-05520-0001;4-05520-0047;4-05520-0050,4124560;4121243;4121243,196-10 Northern Blvd,,11358,Not found,Not found,Queens, Not found ,80000,Worship Facility,"K-12 School, Parking, Worship Facility",K-12 School,75000,Worship Facility,20000,Parking,0,2007,1,95,Whole Building,,84,94.9,,52.1,,,,,,,,,,,,,3117300,,1827467,535599.9,,,,327.6,165.6,162,,,Not found,4/17/2018,Not found
2741,6224375,Operative Cakes,,,2055600062;2055600068,2055600062;2055600068,2087721,711-733 Brush Avenue,,10465,Not found,Not found,Bronx, Not found ,104407,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,104407,,,,,1973,1,100,Whole Building,Whole Building,68,84.6,,32,,7.1,,,773283,,,,,,,,,,2564587.1,751637.4,745273.8,,,284.8,57.4,227.4,116,1.11,Not found,4/17/2018,Not found
2924,5871088,Union Theological,5871088,Union Theological,1019910031;1019920013,1019910031;1019920013,1075480;1059836;1086559;1086560,3041 Broadway,,10027,Not found,Not found,Manhattan, Not found ,255275,College/University,College/University,College/University,255275,,,,,1908,2,100,Whole Building,Whole Building,,162.7,,109,,6.6,,,1823316.8,,,,,,,,20094384.8,,5917563.6,1734338.5,1689975.8,,,1727.3,1202.6,524.6,,,Not found,4/18/2018,Not found
2930,6231688,"NYJE, LLC d/b/a New York Jewelers Exchange",,,1002030025;1002030026,1002030025:1002030026,1002612;1002613,70-72-74 Bowery ,,10013,Not found,Not found,Manhattan, Not found ,50000,Mixed Use Property,Office,Office,50000,,,,,1905,2,100,Whole Building,,,223.4,225.6,84,86.2,19,0.2,,,,,,,,,,966548.5,10752.9,3234184,947885,947528.6,,,338.1,51.3,286.7,1611.3,32.23,Not found,4/18/2018,Not found
3045,2750743,Clove Lakes Nursing Home,,,5007140065;5007140001,5-00714-0065;5-00714-0001,5154742;5018077,25 Fanning Street,15 South Gannon Avenue,103145307,Not found,Not found,Staten Island, Not found ,206000,Senior Care Community,"Parking, Senior Care Community",Senior Care Community,206000,Parking,0,,,1968,2,100,Whole Building,Whole Building,56,202.8,235.9,71.2,81.8,21.1,0,,1670622.5,,,,,,,,349011.3,3490.1,12649852.9,3707459.4,4344559.4,570.4,Jan-17,1264,142.5,1121.5,0,0,Not found,4/19/2018,Not found
3048,2792593,BRP,,,3001400160;3001407501,3-00140-0160;3-00140-7501,3391417;3000259,333 Adams Street,"350 Jay Street,",11201,Not found,Not found,Brooklyn, Not found ,1367356,Mixed Use Property,"Data Center, Financial Office, Hotel, Office, Parking",Office,840568,Hotel,512000,Parking,339982,1996,2,100,Whole Building,Whole Building,,270.2,272.3,136.7,137.5,17.9,0.8,,1052760.5,,,,,,,,102976678.4,1029766.8,82902676.7,24297381.8,24543610.5,,,12897.8,5547.7,7350.1,9704.5,7.1,Not found,4/19/2018,Not found
3238,6258027,St. Nicholas Greek Orthodox Church,,,4055200001;4055200047;4055200050,4-05520-0001;4-05520-0047;4-05520-0050,4124560;4121243;4121243,196-10 Northern Blvd,,11358,Not found,Not found,Queens, Not found ,80000,Worship Facility,"K-12 School, Parking, Worship Facility",K-12 School,75000,Worship Facility,20000,Parking,0,2007,2,95,Whole Building,,84,94.9,,52.1,,,,,,,,,,,,,3117300,,1827467,535599.9,,,,327.6,165.6,162,,,Not found,4/19/2018,Not found
3263,6296154,Sutter Gardens,6296154,Sutter Gardens,3040430001;3040270001;3040440001,3-04043-0001;3-04027-0001;3-04044-0001,3346324;3338894;3336998;3337004;3336999;3337001;3337000;3337002;3337003;3346323;3323719;3323718;3323726;3323725;3323724;3323717;3323727;3337005;3337009;3337013;3337008;3337007;3337011;3337012;3337006;3337010;3826314;3828761;3337014,440 Schenck Ave,,11207,Not found,Not found,Brooklyn, Not found ,217833,Multifamily Housing,Multifamily Housing,Multifamily Housing,217833,,,,,1984,16,100,Whole Building,,48,124,126.7,75.4,77.9,6.3,0.6,,,,,,,,,,11742521.8,122961.7,4672462.1,1369420.1,1371777.9,,,1038,623.7,414.3,,,Not found,4/19/2018,Not found
3326,6231688,"NYJE, LLC d/b/a New York Jewelers Exchange",,,1002030025;1002030026,1002030025;1002030026,1002612;1002613,70-72-74 Bowery ,,10013,Not found,Not found,Manhattan, Not found ,50000,Mixed Use Property,Office,Office,50000,,,,,1905,2,100,Whole Building,,,223.4,225.6,84,86.2,19,0.2,,,,,,,,,,966548.5,10752.9,3234184,947885,947528.6,,,338.1,51.3,286.7,1611.3,32.23,Not found,4/19/2018,Not found
3570,2944898,ABC 47W 30W,,,1011190021;1011190043,1-01119-0021;1-01119-0043,1081016; 1028232,47 W 66th Street and 30 W 67th street,,10023,Not found,Not found,Manhattan, Not found ,267932,Office,"Data Center, Office, Restaurant",Office,183932,Data Center,74400,Restaurant,9600,1985,1,100,Whole Building,,,950.8,,342.3,,82.9,0.6,,512670,,,,,,,,15368499.5,167837.3,75825555.1,22223196.3,22223196.3,,,7577,854.3,6722.6,20345.5,75.94,Not found,4/20/2018,Not found
3667,4405473,3420 - Queens Center,,,4018600100;4018600101,4-01860-0100; 4-01860-0101,4045999; 4530816,90-15 Queens Blvd,,11373,Not found,Not found,Queens, Not found ,723221,Enclosed Mall,Enclosed Mall,Enclosed Mall,723221,,,,,2004,1,100,Whole Building,Whole Building,,,,,,18.9,,,,,,,,,,,,,46744674.1,13700078.7,13700078.7,,,,,4144.4,32390.7,44.79,Not found,4/20/2018,Not found
3897,2816577,Barouh Eaton Allen Corp.,,,3023020006;3023020001;3023020034,3-02302-0006;3-02302-0001;3-02302-0034,3061645;3061644;3061647,67 Kent Avenue,,11249,Not found,Not found,Brooklyn, Not found ,180000,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,167000,Office,13000,,,1955,1,10,Whole Building,,,26,28.6,17.7,20.1,1,0.2,,,,,,,,,,2545928.9,29764.2,641654.5,188058.1,188058.1,,,192.1,135.2,56.9,127,0.71,Not found,4/23/2018,Not found
3936,5871088,Union Theological,5871088,Union Theological,1019910031;1019920013,1019910031;1019920013,1075480;1059836;1086559;1086560,3041 Broadway,,10027,Not found,Not found,Manhattan, Not found ,255275,College/University,College/University,College/University,255275,,,,,1908,2,100,Whole Building,Whole Building,,162.7,,109,,6.6,,,1823316.8,,,,,,,,20094384.8,,5917563.6,1734338.5,1689975.8,,,1727.3,1202.6,524.6,,,Not found,4/23/2018,Not found
4247,4389644,"1510 Lexington Avenue, New York",,,1016250016;1016250013,1-01625-0016;1-01625-0013,1088689;1813164;1051728,"1510 Lexington Avenue, New York",1504 Lexington Avenue,10029,Not found,Not found,Manhattan, Not found ,324254,Multifamily Housing,"Ambulatory Surgical Center, Fitness Center/Health Club/Gym, Multifamily Housing, Parking, Restaurant",Multifamily Housing,268910,Parking,37044,Ambulatory Surgical Center,13490,2008,2,100,Whole Building,Whole Building,60,129.5,134.2,78,83.1,6.6,0.6,,,,,,,,,,15874033.3,174039.1,6534166.9,1915054.5,1891361.7,168,Aug-17,1422.5,843.1,579.3,10919.5,38.02,Not found,4/24/2018,Not found
4253,4041227,E&&M Lafayette Morrison,4041227,E&&M Lafayette Morrison,2036270050;2036270040;2036270030;2036270020,2036270050:2036270040:2036270030:2036270020,2092724:2092723:2092725:2092726,820 Boynton Ave.,,10473,Not found,Not found,Bronx, Not found ,1115400,Multifamily Housing,Multifamily Housing,Multifamily Housing,1115400,,,,,1962,4,95,Whole Building,Whole Building,96,69.8,69,25.4,25.2,6,0,,,,,,,,,,5352433.4,54417.6,23014259,6745092.7,6646656.9,,,2324.7,284.3,2040.4,,,Not found,4/24/2018,Not found
4668,6187102,Clinton Hill North Campus Scorecard,6187102,Clinton Hill North Campus Scorecard,3019020001;3019020022;3019010001,3-01902-0001;3-01902-0022;3-01901-0001,3322378;3322379;3322382;3322380;3322381;3054797;3054782,165-210 Clinton Ave,,11205,Not found,Not found,Brooklyn, Not found ,838172,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,828646,Retail Store,9526,,,1944,7,100,Whole Building,Whole Building,,128,133.3,103.6,108.9,2.7,1,,,,,,,,,,79117282.9,837336.3,7704682,2258112.9,2222349.2,128,Aug-17,4885.4,4202.3,683.1,36792.5,43.9,Not found,4/25/2018,Not found
4669,6187633,Clinton Hill South Campus Scorecard,6187633,Clinton Hill South Campus Scorecard,3019440004;3019300001,3-01944-0004;3-01930-0001,3321875;3397848;3321874;3055311;3321876,325-365 Clinton Ave,,11238,Not found,Not found,Brooklyn, Not found ,662697,Multifamily Housing,Multifamily Housing,Multifamily Housing,662697,,,,,1945,5,100,Whole Building,Whole Building,48,116.3,122.6,87.7,93.4,3.4,0.8,,,,,,,,,,50394671,541753.9,7697071.3,2255882.3,2272389.8,144,Sep-17,3359.1,2676.7,682.4,27827.9,41.99,Not found,4/25/2018,Not found
4706,2909070,41-45 West 25th Street,,,1008270008;1008270012,1-00827-0008;1-00827-0012,1015611;1015612,41-45 West 25th Street,,10010,Not found,Not found,Manhattan, Not found ,157111,Other,"Office, Retail Store",Office,147111,Retail Store,10000,,,1909,2,100,Whole Building,Whole Building,,59.3,63.1,35.8,39.4,3,0.3,,,,,,,,,,3988873.4,45604.4,1633806.4,478841.2,478841.2,5.2,Jan-17,356.7,211.9,144.9,3370.7,21.45,Not found,4/25/2018,Not found
4731,6227961,C21 BK Home LLC Campus,6227961,C21 BK Home LLC Campus,3060500051;3060500059;3060500019;3060500015,3/6050/0051; 3/6050/0059; 3/6050/0019; 3/6050/0015,,423 88th St,,11209,Not found,Not found,Brooklyn, Not found ,78379,Retail Store,"Parking, Retail Store",Retail Store,78379,Parking,77500,,,1922,4,100,Whole Building,Whole Building,,333.1,335.8,117.8,120.3,29.4,0.2,,,,,,,,,,1374891.6,15772,7855451.7,2302300.9,2302300.9,,,769.5,73,696.5,1000.3,12.76,Not found,4/25/2018,Not found
4924,5032176,SHEEPSHEAD BAY 9 CAMPUS,5032176,SHEEPSHEAD BAY 9 CAMPUS,3088400103;3088420280,3-08840-103;3-08842-0280,3826829;3256973,3907 Shore Parkway,,11235,Not found,Not found,Brooklyn, Not found ,61798,Movie Theater,Movie Theater,Movie Theater,61798,,,,,2006,3,100,Whole Building,Whole Building,,260.3,263,100.6,103.3,21.7,0.3,,,,,,,,,,1643500,18091.7,4573376.2,1340379.7,1339856.5,,,492.8,87.3,405.5,6818,110.33,Not found,4/25/2018,Not found
5061,2051345,MSHS- St. Luke's,2051345,MSHS- St. Luke's,1018660001;1018670001;1018670005,1-01866-0001; 1-01867-0001; 1-01867-0005,1056035;1084030;1084028;1084029;1084031;1084033;1084032; 1056036,1111 Amsterdam Avenue,,10025,Not found,Not found,Manhattan, Not found ,970650,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),970650,,,,,1896,3,100,Whole Building,Whole Building,19,553.1,557.4,317.3,323.5,31.1,1.1,,99399016.1,,,,,,,,104537481.8,1115118.8,104040634.7,30492562.1,30201744.7,,,22153,12928.8,9224.2,,,Not found,4/25/2018,Not found
5067,5876639,MSHS. Mount Sinai West,5876639,MSHS. Mount Sinai West,1010680001;1010680003,1010680001; 1010680003,1082718; 1085140,1000 10th AVE,,10019,Not found,Not found,Manhattan, Not found ,861810,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),861810,,,,,1963,2,100,Whole Building,,14,470.6,473.3,217,221.3,31.4,0,,,,,,,93211691.4,,,562469.7,5624.7,93270020.3,27335876,27018294.5,,,14488.3,29.9,14458.4,,,Not found,4/25/2018,Not found
5068,5876753,MSHS. Beth Israel Hospital,5876753,MSHS. Beth Israel Hospital,1009220046;1009220002;1009220070,1009220046; 1009220002; 1009220070,1081661; 1020418; 1020428,321 East 16th St,,10003,Not found,Not found,Manhattan, Not found ,962594,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),962594,,,,,1924,3,100,Whole Building,Whole Building,44,442.9,447.5,225.5,231.4,27.5,0.8,,4913592.2,,,,,49265385,,,71471563.3,747298.9,91428348.2,26796112.9,26505174.8,,,15538,4160.8,11377.1,,,Not found,4/25/2018,Not found
5458,4414058,Jupiter 21,,,1004560027;1004567501,1-00456-0027;1-00456-7501,1088698,"21 East 1st Street, New York",,10003,Not found,Not found,Manhattan, Not found ,63929,Multifamily Housing,"Bank Branch, Multifamily Housing, Retail Store",Multifamily Housing,53929,Retail Store,7000,Bank Branch,3000,2012,1,100,Whole Building,Whole Building,,142.9,142.4,64.8,65,10.4,0.3,,,,,,,,,,1847060.4,18907.8,2292467.4,671883.7,664389.6,60.8,Jul-17,301.4,98.1,203.2,,,Not found,4/26/2018,Not found
5462,4412241,"550-556 Broadway, New York",4412241,"550-556 Broadway, New York",1004970012;1004970011,1-00497-0012;1-00497-0011,1079955;1007565,"550-556 Broadway, New York",,10012,Not found,Not found,Manhattan, Not found ,86978,Office,"Medical Office, Multifamily Housing, Office, Retail Store",Office,54978,Medical Office,15000,Retail Store,10000,1900,2,100,Whole Building,Whole Building,,161.4,160.4,65.7,65.4,13,0,,,1825167.8,,,,,,,8225.4,82.3,3880768.3,1137388,1129016.2,16.2,Feb-17,481.9,137.9,344.1,,,Not found,4/26/2018,Not found
5574,3114316,Lyric,,,1012429055;1012420010,1-01242-9055;1-01242-0010,1081057;1033687;1085933,255 West 94th Street,,10025,Not found,Not found,Manhattan, Not found ,296691,Multifamily Housing,"Bank Branch, Food Sales, Multifamily Housing, Retail Store, Urgent Care/Clinic/Other Outpatient",Multifamily Housing,272015,Retail Store,18534,Bank Branch,3800,2000,1,100,Whole Building,Whole Building,9,199.7,202.1,101.4,105.5,12.8,0.6,,,,,,,,,,16866891.7,183390.7,13231211.4,3877845.8,3800405.5,200,Jul-17,2069,895.9,1173.1,14783,49.83,Not found,4/26/2018,Not found
5582,6242925,Carnegie Park,6242925,Carnegie Park,1015397502;1015390008,1-01539-7502;1-01539-0008,1089344;1048916;1089343;1089342,200 East 94th St,,10128,Not found,Not found,Manhattan, Not found ,461484,Multifamily Housing,"Medical Office, Multifamily Housing, Parking, Supermarket/Grocery Store",Multifamily Housing,442606,Parking,25000,Medical Office,9593,1985,2,100,Whole Building,Whole Building,23,165.9,169.6,91.4,96.1,9.6,0.6,,,,,,,,,,26717176.8,291936.7,15447182.4,4527309.6,4444055.3,312,Aug-17,2788.6,1419.1,1369.5,16635.2,36.05,Not found,4/26/2018,Not found
5749,2816577,Barouh Eaton Allen Corp.,2816577,Barouh Eaton Allen Corp.,3023020006;3023020001;3023020034,3-02302-0006;3-02302-0001;3-02302-0034,3061645;3061644;3061647,67 Kent Avenue,,11249,Not found,Not found,Brooklyn, Not found ,175000,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,175000,,,,,1955,3,15,Whole Building,Whole Building,,26.8,29.4,18.2,20.7,1.1,0.2,,,,,,,,,,2545928.9,29764.2,641654.5,188058.1,188058.1,,,192.1,135.2,56.9,122.6,0.7,Not found,4/26/2018,Not found
5867,5877508,Longwood Residences LL84,5877508,Longwood Residences LL84,2027240101;2027240001;2027200093,2-02724-0101;2-02724-0001;2-02720-0093,2005771;2099788;2005769;2099787;2005737,"940 Simpson street , 941 Simpson Street,","940 Fox Street, 999 E 163rd St",10459,Not found,Not found,Bronx, Not found ,223986,Multifamily Housing,Multifamily Housing,Multifamily Housing,223986,,,,,1908,3,100,Whole Building,Another configuration,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,Not found,4/26/2018,Not found
6343,4956972,The Morgan Library & Museum,4956972,The Morgan Library & Museum,1008660025;1008660058,1008660025;1008660058,1088659;1017186,225 Madison Avenue,,10016,Not found,Not found,Manhattan, Not found ,150701,Library,Library,Library,150701,,,,,1906,2,100,Whole Building,,,311.6,314.7,139.6,141.6,21.9,0,,,,,,,9203345,,,599364.5,5993.6,11228429.7,3290864.1,3304185.1,,,1638.4,31.8,1606.6,,,Not found,4/26/2018,Not found
6430,4926122,Main Campus - Super Block,4926122,Main Campus - Super Block,1014620001;1014620005,1-01462-0001; 1-01462-0005,1045572; 1087284,1275  York Ave,,10065,Not found,Not found,Manhattan, Not found ,1382117,Other - Specialty Hospital,Other - Specialty Hospital,Other - Specialty Hospital,1382117,,,,,1940,2,100,Whole Building,,,607,613,301.3,306.2,37,,,,,,,,241907234,,,,,174486466.2,51139051.9,51139051.9,,,31532.2,0,31532.2,,,Not found,4/27/2018,Not found
7016,3129216,St. Ignatius Loyola,,,1014950033;1014950132,1-01495-0033;1-01495-0132,1046786;1046799,46 East 84th Street,,10028,Not found,Not found,Manhattan, Not found ,100000,K-12 School,"K-12 School, Worship Facility",K-12 School,57500,Worship Facility,42500,,,1853,1,100,Whole Building,,21,175.1,,67,,,0.2,,,,,,,,,,1694500,16945,5008893,1468022.4,,,,534.1,90,444.1,,,Not found,4/30/2018,Not found
7063,3614737,Columbia University Medical Center,3614737,Columbia University Medical Center,1021390275;1021390017;1021390210;1021380095;1021390051;1021240017;1021240043;1021380040;1021240025;1021390219;1021390250;1021390229,1021390275;1021390017;1021390210;1021380095;1021390051;1021240017;1021240043;1021380040;1021240025;1021390219;1021390250;1021390229,1063430;1063400;1063423;1063382;1063402;1062989;1062993;1084989;1810191;1809824;1803801;1084386;1084389;1087858;1081868;1088757;1090165,650 W 168th Street,,10032,Not found,Not found,Manhattan, Not found ,2904696,College/University,College/University,College/University,2904696,,,,,1914,13,100,Whole Building,,,548.4,,294.8,,,0.7,,6441481.1,,,,,345460339.7,,10820,197796308.5,2040467.2,306730589.9,89897582.8,,,,61117.1,10983.9,50133.2,,,Not found,4/30/2018,Not found
7068,2546474,The Nightingale Bamford School,,,1015030059;1015030057,1-01503-0059;1-01503-0057,1083912;1047038,30 East 92 Street,,10128,Not found,Not found,Manhattan, Not found ,128858,K-12 School,K-12 School,K-12 School,128858,,,,,1990,1,100,Whole Building,,43,155.1,158.9,69.4,73,11.5,0.3,,,,,,,,,,3864700.4,43315.7,5072324.6,1486613.1,1486613.1,,,655,205.3,449.7,,,Not found,4/30/2018,Not found
7131,2637863,Cadman Towers,2637863,Cadman Towers,3002320001;3002380035,3002320001;3002380035,3001727;3319420,101 Clark St,aka 10 Clinton St,11201,Not found,Not found,Brooklyn, Not found ,432503,Multifamily Housing,"Multifamily Housing, Other, Parking",Multifamily Housing,412503,Other,20000,Parking,18800,1903,2,100,Whole Building,Whole Building,93,84,,29.8,,7.4,0,,0,,,,,,,,2000200,20002,10895330,3193238.2,3182490.5,,,1072.2,106.2,966,21349.9,49.36,Not found,4/30/2018,Not found
7147,4939808,310-320 W 86 St,4939808,310-320 W 86 St,1012470040;1012470043,1012470040; 1012470043,1033922; 1033923,310-320 W 86th Street,,10024,Not found,Not found,Manhattan, Not found ,138242,Multifamily Housing,Multifamily Housing,Multifamily Housing,138242,,,,,1914,2,100,Whole Building,Whole Building,75,96.3,96,64.3,64.3,4,0.5,,,,,,,,,,6995466.9,69954.7,1899682.2,556764.9,553734.9,,,540,371.6,168.4,2272.6,16.44,Not found,4/30/2018,Not found
7311,5042666,Pratt Industries Staten Island,5042666,Pratt Industries Staten Island,5027050225;5027050224,5027050225:5027050224,5041883:5164932,4435 Victory Boulevard,,10314,Not found,Not found,Staten Island, Not found ,438530,Manufacturing/Industrial Plant,"Manufacturing/Industrial Plant, Parking",Manufacturing/Industrial Plant,438530,Parking,0,,,1996,2,100,,Another configuration,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,17597.1,40.13,Not found,4/30/2018,Not found
7683,6097758,MetLife/C&W,6097758,MetLife/C&W,4004160021;4004160010,4004160021; 4004160010,,41-21 27th Street,,11101,Not found,Not found,Queens, Not found ,782359,Office,Office,Office,782359,,,,,2001,2,80,Whole Building,Whole Building,,135.4,135.6,49.2,50,11.7,0.1,,,,,,,,,,7088663.3,80159.2,31374295.2,9195278.8,9118502.8,,,3158.1,376.5,2781.6,7514.2,9.6,Not found,5/1/2018,Not found
7709,6249781,Rutgers Parent Entity (campus),6249781,Rutgers Parent Entity (campus),1011640037;1011640042,1-01164-0037;1-01164-0042,1030519;1030520,2095 Broadway,,10023,Not found,Not found,Manhattan, Not found ,61073,Mixed Use Property,"Bank Branch, Office, Social/Meeting Hall, Worship Facility",Office,22228,Bank Branch,18874,Social/Meeting Hall,13393,1925,2,100,Whole Building,,,110.6,109.7,35.5,35.3,10.2,0,,,,,,,,,,28761,331.1,2141371.2,627599.9,622339.2,,,191.4,1.5,189.9,,,Not found,5/1/2018,Not found
7859,5871088,Union Theological,5871088,Union Theological,1019910031;1019920013,1019910031;1019920013,1075480;1059836;1086559;1086560,3041 Broadway,,10027,Not found,Not found,Manhattan, Not found ,255275,College/University,College/University,College/University,255275,,,,,1908,2,100,Whole Building,Whole Building,,162.7,,109,,6.6,,,1823316.8,,,,,,,,20094384.8,,5917563.6,1734338.5,1689975.8,,,1727.3,1202.6,524.6,,,Not found,5/1/2018,Not found
7982,2712911,The Dalton School,,,1015170062;1015030025;1015170058;1015320004,1-01517-0062;1-01503-0025;1-01517-0058;1-01532-0004,1048100;1047020;1048099;1077854,108 East 89th Street,,10128,Not found,Not found,Manhattan, Not found ,630838,K-12 School,K-12 School,K-12 School,630838,,,,,1929,6,100,Whole Building,Whole Building,100,29.3,29.4,10.1,10.2,2.6,0,,,,,,,,,,715800,7770.3,5638259.8,1652479.2,1652479.2,,,537.9,38,499.9,,,Not found,5/1/2018,Not found
7987,3579625,1 Junius Street (WIN Inc.),,,3036790030;3036790022,3-03679-0030;3-03679-0022,3083426;3378454  ,1 Junius Street,11-13-23-25,11212,Not found,Not found,Brooklyn, Not found ,145000,Multifamily Housing,Multifamily Housing,Multifamily Housing,145000,,,,,1927,2,100,Whole Building,Whole Building,48,220.9,226.2,101.7,104,16.4,0.5,,,,,,,,,,6822351.5,69740.9,7920496.5,2321364.4,2377542.2,,,1064.6,362.4,702.2,33600.3,231.73,Not found,5/1/2018,Not found
8733,6300118,Nostrand Gardens Co-op,,,3074230011;3074220013,3074230011; 3074220013,3203615; 3203174,2530 Haring St,,11235,Not found,Not found,Brooklyn, Not found ,361822,Multifamily Housing,Multifamily Housing,Multifamily Housing,361822,,,,,1953,2,95,Whole Building,,83,99.1,101.7,61.2,64,4.8,0.5,,,,,,,,,,16089249.7,171606,6037538.3,1769501,1754038.1,,,1389.9,854.6,535.3,,,Not found,5/4/2018,Not found
9257,5032176,SHEEPSHEAD BAY 9 CAMPUS,5032176,SHEEPSHEAD BAY 9 CAMPUS,3088400103;3088420280,3-08840-0103;3-08842-0280,3826829;3256973,3907 Shore Parkway,,11235,Not found,Not found,Brooklyn, Not found ,61798,Movie Theater,Movie Theater,Movie Theater,61798,,,,,2006,3,100,Whole Building,Whole Building,,260.3,263,100.6,103.3,21.7,0.3,,,,,,,,,,1643500,18091.7,4573376.2,1340379.7,1339856.5,,,492.8,87.3,405.5,6818,110.33,Not found,5/9/2018,Not found
